characters,excluding,directed_to,lines,song
1,,1-5,1
4,,,6-11,1
10,,,12-15,1
11,,,16-19,1
1,,,20-23,1
2,,,24-27,1
7,,,28-30,1
24,,2,31,1
3,,,32-36,1
1,,,37-46,1
24,,,47-51,1
21,,,52,1
22,,,53,1
2,,,54,1
24,,,55-63,1
1,,,64-69,1
6/5,,,70,1
4,,,71,1
3,,,72,1
7/8/16,,,73,1
1,,,74,1
24,,,75-76,1
1,,,77,1
24,,,78,1
24,2,,1,2
2,,1,2,2
1,,2,3,2
2,,1,4-6,2
1,,2,7,2
2,,1,8-9,2
1,,2,10,2
2,,1,11-13,2
1,,2,14,2
2,,1,15-18,2
1,,2,19,2
2,,1,20,2
1,,2,21-22,2
2,,1,23,2
1,,2,24,2
2,,,25,2
1,,2,26,2
2,,1,27,2
1,,2,28,2
2,,1,29,2
1,,2,30,2
4,,,31-32,2
4/5/6,,,33,2
1,,,34,2
4,,,35-39,2
5,,,40-44,2
6,,,45-48,2
4,,,49-50,2
4/5/6,,,51,2
4,,1,52,2
6,,1,53,2
4,,1,54,2
1,,4,55-56,2
5/6,,1,57,2
4,,1,58,2
2,,1,59,2
4/6/5,,2,1-2,3
4/6/5,,,3,3
2,,,4-23,3
2/5/6/4,,,24,3
2,,,25-31,3
5/6/4,,,32,3
2,,,33-40,3
2/6/4/5,,,41-46,3
5,,,47-51,3
2/4/5/6,,,52,3
6,,,53-57,3
2/4/5/6,,,58,3
4,,,59-63,3
2/4/5/6,,,64,3
1,,,65-69,3
2,,,70-82,3
4,,,83,3
2/4/5/6/23,,,84-93,3
4,,,94-109,3
4/23,,,110-114,3
2,,,115-142,3
2/24,,,143-147,3
2/4/5/6,,,148-150,3
2,,,151,3
2/5/6/4,,,152-159,3
2/5/6/4,,,160,3
24,,,161,3
2,,,1,4
5/6/4,,,2,4
2,,,3,4
5/6/4,,,4,4
2,,,5,4
5/6/4,,,6,4
2,,,7,4
6/5/2,,,8,4
4,,,9-12,4
4/6,,,13,4
5/4/3,,,14,4
2,,,15,4
4/6/5,,,16-17,4
2,,,18,4
6/5,,,19,4
4,,,20,4
2/4/6/5,,,21,4
2/4,,,22,4
6/5,,,23,4
2/4/23,,,24-26,4
23,,,27,4
1,,,1-9,5
24,,,10,5
8,,,11,5
24,,,12,5
7,,,13,5
9,,,14,5
24,,,15-16,5
8,,,17,5
9,,,18,5
7,,,19,5
24,,,20,5
9,,7/8,21,5
8,,9,22,5
9,,7/8,23,5
7,,9,24,5
8,,,25-26,5
7/9,,,27,5
24,,,28,5
7/8/9/24,,,29,5
9,,,30,5
7,,,31,5
9,,,32,5
8,,,33,5
8,,,34,5
7,,8,35,5
22,,,36,5
8,,,37-40,5
7/8/9,,,41-42,5
1,,,43-48,5
8,,1,49,5
1,,8,50-51,5
8,,,52-55,5
7/8/9,,,56-57,5
8,,,58-59,5
21,,,60,5
7,,,61-62,5
7/9,,,63-64,5
7/8/9,,,65-66,5
24,3/2,,67,5
8,,,68-72,5
8/7/9,,,73-74,5
24,,,75-76,5
21,,,77,5
22,,,78,5
24,,,79,5
24,,,80-90,5
